"","circ_id","mfu1","mfu2","mfu3"
"1","scaffold0001:100288339|100300837","2.000",NA,NA
"2","scaffold0001:100293136|100303279","4.000",NA,NA
"3","scaffold0001:100315302|100318708","2.000",NA,NA
"4","scaffold0001:100320599|100321192",NA,"7.000",NA
"5","scaffold0001:100323660|100333633",NA,NA,"3.000"
"6","scaffold0001:100323660|100333636","2.000",NA,"8.000"
"7","scaffold0001:100325417|100333636",NA,"2.000",NA
"8","scaffold0001:100328795|100333636",NA,NA,"4.000"
"9","scaffold0001:100330609|100333636",NA,NA,"5.000"
"10","scaffold0001:100333249|100333636",NA,NA,"2.000"
"11","scaffold0001:100346204|100349872",NA,"6.000",NA
"12","scaffold0001:100346204|100351171",NA,"2.000",NA
"13","scaffold0001:100513833|100514737",NA,NA,"1.000"
"14","scaffold0001:100516426|100531553","3.000",NA,NA
"15","scaffold0001:100516943|100531553",NA,"2.000",NA
"16","scaffold0001:100526565|100531553","4.000",NA,NA
"17","scaffold0001:100526565|100535231","1.000",NA,NA
"18","scaffold0001:100526565|100543235","3.000",NA,"3.000"
"19","scaffold0001:100531444|100543235","20.000",NA,"2.000"
"20","scaffold0001:100784303|100786670","2.000",NA,NA
"21","scaffold0001:100932728|100977439","4.000",NA,NA
"22","scaffold0001:100957916|100972382","9.000","6.000",NA
"23","scaffold0001:100957916|100976911",NA,"4.000","6.000"
"24","scaffold0001:100957916|100977439","15.000","6.000","1.000"
"25","scaffold0001:100976805|101024700",NA,NA,"4.000"
"26","scaffold0001:100987898|101024700","11.000","9.000","6.000"
"27","scaffold0001:101011461|101022560",NA,NA,"3.000"
"28","scaffold0001:101011461|101024700","8.000","5.000","4.000"
"29","scaffold0001:101022399|101024700","28.000","19.000","15.000"
"30","scaffold0001:101024527|101024700","16.000","1.000",NA
"31","scaffold0001:101237457|101257372",NA,"3.000",NA
"32","scaffold0001:101348677|101355544","4.000",NA,"5.000"
"33","scaffold0001:101359696|101368117","60.000",NA,"11.000"
"34","scaffold0001:101359700|101368117","6.000",NA,NA
"35","scaffold0001:101364606|101368117",NA,NA,"2.000"
"36","scaffold0001:101841551|101845416","1.000","1.000",NA
"37","scaffold0001:101842598|101845416",NA,NA,"6.000"
"38","scaffold0001:101842598|101849632","1.000",NA,NA
"39","scaffold0001:101910607|101924908","21.000","3.000","11.000"
"40","scaffold0001:101910607|101926047","6.000",NA,NA
"41","scaffold0001:101917971|101926047",NA,"3.000",NA
"42","scaffold0001:102630231|102642172",NA,NA,"1.000"
"43","scaffold0001:102641999|102659573","4.000",NA,NA
"44","scaffold0001:102720304|102765433","3.000",NA,NA
"45","scaffold0001:102748191|102749903",NA,"3.000",NA
"46","scaffold0001:102758173|102765433",NA,"8.000",NA
"47","scaffold0001:102765233|102765433","3.000",NA,NA
"48","scaffold0001:102765233|102788737","2.000",NA,NA
"49","scaffold0001:102823526|102846556","4.000","2.000",NA
"50","scaffold0001:102892235|102898697","7.000","8.000",NA
"51","scaffold0001:102941697|102951462",NA,"2.000",NA
"52","scaffold0001:102980296|103001792",NA,NA,"1.000"
"53","scaffold0001:103001728|103005493","1.000",NA,"6.000"
"54","scaffold0001:103001728|103006841",NA,"4.000",NA
"55","scaffold0001:103582593|103596396","3.000",NA,NA
"56","scaffold0001:103585620|103596396","1.000",NA,NA
"57","scaffold0001:103585620|103605121","4.000",NA,NA
"58","scaffold0001:103588893|103591355","8.000","7.000",NA
"59","scaffold0001:103588893|103605121","4.000",NA,NA
"60","scaffold0001:103591238|103605121","6.000",NA,NA
"61","scaffold0001:103595638|103605121","7.000",NA,"2.000"
"62","scaffold0001:103606504|103623075","7.000",NA,NA
"63","scaffold0001:103620482|103623075","53.000","33.000","23.000"
"64","scaffold0001:103775678|103776780","4.000",NA,"2.000"
"65","scaffold0001:103775955|103797295","1.000",NA,NA
"66","scaffold0001:103794219|103795726","7.000","3.000","7.000"
"67","scaffold0001:103794219|103797295","21.000","11.000","11.000"
"68","scaffold0001:103795560|103797295","17.000",NA,"1.000"
"69","scaffold0001:103825074|103825376","204.000","144.000","166.000"
"70","scaffold0001:103825074|103828795","6.000","8.000","5.000"
"71","scaffold0001:103825074|103841091","17.000","1.000","12.000"
"72","scaffold0001:103825074|103854606","22.000","16.000","9.000"
"73","scaffold0001:103825074|103868986","3.000","15.000","3.000"
"74","scaffold0001:103839261|103841091","2.000",NA,NA
"75","scaffold0001:103839261|103868986","3.000",NA,"1.000"
"76","scaffold0001:103840995|103845464","164.000","47.000","78.000"
"77","scaffold0001:103840995|103845994",NA,NA,"1.000"
"78","scaffold0001:103840995|103854606","103.000","33.000","49.000"
"79","scaffold0001:103840995|103868986","81.000","26.000","34.000"
"80","scaffold0001:103845267|103845464","2.000",NA,"4.000"
"81","scaffold0001:103845267|103845994",NA,NA,"4.000"
"82","scaffold0001:103845267|103854606","389.000","177.000","214.000"
"83","scaffold0001:103845267|103868986","211.000","141.000","91.000"
"84","scaffold0001:103845330|103854606","2.000",NA,NA
"85","scaffold0001:103845330|103868986","1.000",NA,NA
"86","scaffold0001:103849987|103854606","3.000",NA,NA
"87","scaffold0001:103854521|103868986",NA,NA,"2.000"
"88","scaffold0001:103898187|103905476","11.000","14.000","2.000"
"89","scaffold0001:103898187|103934391",NA,"4.000",NA
"90","scaffold0001:103898242|103905476","15.000","7.000","71.000"
"91","scaffold0001:103898242|103934391","5.000",NA,"3.000"
"92","scaffold0001:103941070|103941773","42.000","22.000","20.000"
"93","scaffold0001:103948871|103951355","18.000",NA,"5.000"
"94","scaffold0001:103950481|103954365",NA,"6.000",NA
"95","scaffold0001:103951214|103954158",NA,NA,"4.000"
"96","scaffold0001:103954069|103966925",NA,NA,"2.000"
"97","scaffold0001:103954622|103957888","7.000",NA,NA
"98","scaffold0001:103966825|103968872","2.000","16.000",NA
"99","scaffold0001:103987704|103990326",NA,"4.000",NA
"100","scaffold0001:104032169|104035819",NA,"7.000","4.000"
"101","scaffold0001:104032169|104044011",NA,"6.000",NA
"102","scaffold0001:104049463|104050786",NA,NA,"2.000"
"103","scaffold0001:104053090|104070473",NA,NA,"1.000"
"104","scaffold0001:104062031|104070473","3.000",NA,"1.000"
"105","scaffold0001:104069945|104070473",NA,"1.000",NA
"106","scaffold0001:104078822|104107075","4.000",NA,NA
"107","scaffold0001:104083157|104107075",NA,NA,"2.000"
"108","scaffold0001:104106010|104109085","6.000","12.000","15.000"
"109","scaffold0001:104106010|104111047","1.000","1.000",NA
"110","scaffold0001:104106010|104112538","99.000","3.000","28.000"
"111","scaffold0001:104108886|104111047","353.000","286.000","124.000"
"112","scaffold0001:104108886|104111063","15.000",NA,NA
"113","scaffold0001:104108886|104112538","476.000","112.000","240.000"
"114","scaffold0001:104194040|104201101","9.000",NA,"2.000"
"115","scaffold0001:104618782|104619036",NA,NA,"7.000"
"116","scaffold0001:104638971|104642078","19.000","3.000","12.000"
"117","scaffold0001:104638971|104671156",NA,NA,"4.000"
"118","scaffold0001:104638971|104704375",NA,"3.000",NA
"119","scaffold0001:104639424|104642078",NA,NA,"4.000"
"120","scaffold0001:104700278|104704375",NA,NA,"4.000"
"121","scaffold0001:104700278|104709164","17.000","4.000","4.000"
"122","scaffold0001:104754834|104766790","3.000",NA,NA
"123","scaffold0001:104802779|104803134","3.000","6.000","12.000"
"124","scaffold0001:10484385|10569663","1.000",NA,NA
"125","scaffold0001:10484385|10593086","1.000",NA,NA
"126","scaffold0001:104874239|104874567",NA,NA,"4.000"
"127","scaffold0001:105534966|105547478","3.000",NA,NA
"128","scaffold0001:105545379|105547478","162.000","111.000","92.000"
"129","scaffold0001:105545384|105547478",NA,"5.000",NA
"130","scaffold0001:105547907|105549646","1.000",NA,NA
"131","scaffold0001:105547907|105552060","7.000",NA,NA
"132","scaffold0001:105547907|105553862",NA,"6.000",NA
"133","scaffold0001:105566585|105576786","7.000",NA,"4.000"
"134","scaffold0001:105573217|105576786","10.000","6.000",NA
"135","scaffold0001:105573217|105577174","6.000",NA,NA
"136","scaffold0001:105597843|105599822","11.000","1.000","3.000"
"137","scaffold0001:105597843|105612030","10.000",NA,NA
"138","scaffold0001:105617336|105637594",NA,"23.000","13.000"
"139","scaffold0001:105618854|105637594","1.000",NA,NA
"140","scaffold0001:10569361|10579892","9.000",NA,NA
"141","scaffold0001:10569361|10593086","4.000","5.000","11.000"
"142","scaffold0001:10569361|10628132","3.000",NA,NA
"143","scaffold0001:105711515|105721549",NA,NA,"1.000"
"144","scaffold0001:105713986|105721549","91.000","59.000","84.000"
"145","scaffold0001:105713986|105722884","1.000",NA,NA
"146","scaffold0001:105725529|105726324",NA,NA,"1.000"
"147","scaffold0001:105745949|105746243","7.000","13.000","5.000"
"148","scaffold0001:105783425|105784007","3.000",NA,"3.000"
"149","scaffold0001:105783425|105814109","1.000",NA,NA
"150","scaffold0001:105783425|105816077",NA,"1.000",NA
"151","scaffold0001:105791154|105828520","9.000",NA,NA
"152","scaffold0001:105834688|105840238","10.000","11.000","14.000"
"153","scaffold0001:105890423|105893432","8.000",NA,NA
"154","scaffold0001:105890423|105895155","13.000","24.000","18.000"
"155","scaffold0001:105890423|105899374","2.000",NA,NA
"156","scaffold0001:105893249|105895155","5.000",NA,NA
"157","scaffold0001:105894572|105897363",NA,"2.000",NA
"158","scaffold0001:105899241|105915075","13.000",NA,NA
"159","scaffold0001:105949103|105949636",NA,NA,"4.000"
"160","scaffold0001:106050669|106052678",NA,"10.000","9.000"
"161","scaffold0001:106050669|106058053","12.000",NA,"20.000"
"162","scaffold0001:106057973|106067616",NA,"5.000",NA
"163","scaffold0001:106064705|106067616","7.000","27.000","7.000"
"164","scaffold0001:106090615|106093140",NA,"5.000","4.000"
"165","scaffold0001:106090615|106096758","7.000",NA,NA
"166","scaffold0001:106090615|106101913","9.000",NA,"13.000"
"167","scaffold0001:106090615|106111879","1.000",NA,NA
"168","scaffold0001:106090615|106113274","4.000",NA,NA
"169","scaffold0001:106090615|106116911","5.000",NA,NA
"170","scaffold0001:106090615|106131279",NA,"2.000",NA
"171","scaffold0001:106090615|106138243","3.000",NA,NA
"172","scaffold0001:106093050|106101913","32.000","15.000","10.000"
"173","scaffold0001:106093050|106111879","2.000",NA,NA
"174","scaffold0001:106096631|106101913","4.000",NA,"1.000"
"175","scaffold0001:106096631|106111879","2.000",NA,NA
"176","scaffold0001:106096631|106116911",NA,NA,"2.000"
"177","scaffold0001:106096631|106137013","1.000",NA,NA
"178","scaffold0001:106096631|106139534","1.000",NA,NA
"179","scaffold0001:106098849|106101913",NA,NA,"1.000"
"180","scaffold0001:106101780|106113274","14.000","13.000","13.000"
"181","scaffold0001:106111181|106113274","12.000","8.000","9.000"
"182","scaffold0001:106111181|106137013","15.000",NA,"3.000"
"183","scaffold0001:106111846|106130030","1.000",NA,NA
