"","circ_id","mma1","mma2","mma3"
"1","1:100007729|100007915",NA,NA,"15.000"
"2","1:100164432|100164986",NA,NA,"6.000"
"3","1:100166348|100167942","1.000",NA,"37.000"
"4","1:100169129|100201391","5.000",NA,NA
"5","1:100188927|100201391","1.000",NA,NA
"6","1:100513946|100514123","8.000",NA,NA
"7","1:100703499|100706628","2.000",NA,NA
"8","1:102036886|102039280","1.000",NA,NA
"9","1:103657523|103659696","1.000",NA,NA
"10","1:104115124|104121448",NA,NA,"16.000"
"11","1:104362413|104362560",NA,"17.000",NA
"12","1:104692439|104725863",NA,NA,"64.000"
"13","1:106311979|106314354","3.000",NA,NA
"14","1:106339736|106364395","1.000",NA,NA
"15","1:106342693|106364395","2.000",NA,NA
"16","1:106740136|106829790","5.000",NA,NA
"17","1:106805484|106868467","2.000","20.000","11.000"
"18","1:106829695|106868467","15.000",NA,"22.000"
"19","1:106849970|106868467","28.000","37.000",NA
"20","1:106855779|106868467",NA,NA,"8.000"
"21","1:106864988|106868467","5.000",NA,"13.000"
"22","1:107090439|107107596","3.000",NA,NA
"23","1:107178400|107188393","2.000",NA,NA
"24","1:109478241|109491082","11.000",NA,NA
"25","1:109509701|109510290",NA,NA,"29.000"
"26","1:109749835|109760250",NA,NA,"24.000"
"27","1:109799272|109799473",NA,"17.000",NA
"28","1:109799272|109800848",NA,NA,"23.000"
"29","1:110268257|110269335","10.000",NA,NA
"30","1:110304225|110305395","12.000",NA,NA
"31","1:110362532|110392216","1.000",NA,NA
"32","1:110387402|110392216","13.000",NA,NA
"33","1:110425943|110427797","3.000",NA,NA
"34","1:110465144|110498999","2.000",NA,NA
"35","1:110620832|110630288","1.000",NA,NA
"36","1:111119247|111120591","5.000",NA,NA
"37","1:111557151|111564471","6.000",NA,NA
"38","1:111592884|111599248","3.000",NA,NA
"39","1:111592884|111599877","4.000",NA,NA
"40","1:111592884|111611519","1.000",NA,NA
"41","1:111592884|111612988","5.000",NA,NA
"42","1:111592884|111628246","3.000",NA,NA
"43","1:111592884|111633204","9.000",NA,NA
"44","1:111592884|111654330","1.000",NA,NA
"45","1:111592884|111668985","3.000",NA,NA
"46","1:112521347|112528716","7.000",NA,NA
"47","1:113246901|113247073","1.000",NA,NA
"48","1:11349726|11365031",NA,NA,"26.000"
"49","1:113902955|113906163","2.000",NA,NA
"50","1:114211726|114213391","5.000",NA,NA
"51","1:114972852|114974495","14.000",NA,NA
"52","1:115302491|115309429","1.000",NA,NA
"53","1:115302491|115313882","5.000",NA,NA
"54","1:115308846|115313882","2.000",NA,NA
"55","1:115470902|115477628","1.000",NA,NA
"56","1:11550342|11557853",NA,NA,"22.000"
"57","1:11550342|11687576","6.000",NA,NA
"58","1:11622810|11687576","9.000",NA,NA
"59","1:116540769|116564949","4.000",NA,NA
"60","1:120693102|120708689","7.000",NA,NA
"61","1:120697152|120699290","4.000",NA,NA
"62","1:123137040|123157260","3.000",NA,NA
"63","1:123654865|123656037",NA,"37.000",NA
"64","1:123941027|123951477","11.000",NA,NA
"65","1:124130904|124156927",NA,"52.000",NA
"66","1:124279167|124286513","5.000",NA,NA
"67","1:12481663|12486214","8.000",NA,NA
"68","1:126319424|126319724",NA,"3.000",NA
"69","1:126839983|126913482","11.000",NA,NA
"70","1:127049053|127075410","9.000",NA,NA
"71","1:127365771|127381217","12.000",NA,NA
"72","1:12787588|12792826","2.000",NA,NA
"73","1:12812936|12851171","1.000",NA,NA
"74","1:12835131|12851171","14.000",NA,NA
"75","1:128968269|128991784",NA,NA,"22.000"
"76","1:128968269|128996905","10.000",NA,NA
"77","1:128987595|128996905","22.000",NA,NA
"78","1:129680484|129705641",NA,NA,"1.000"
"79","1:129695605|129705641","11.000",NA,NA
"80","1:130592038|130613832","10.000",NA,NA
"81","1:131453560|131453790","7.000",NA,NA
"82","1:131453560|131455073","3.000",NA,NA
"83","1:131484295|131525568",NA,NA,"25.000"
"84","1:131513387|131528093","4.000",NA,NA
"85","1:131839225|131852094","12.000",NA,NA
"86","1:131839225|131864861","8.000",NA,NA
"87","1:13203960|13207415","9.000",NA,NA
"88","1:132318696|132318866",NA,NA,"14.000"
"89","1:132422733|132459642",NA,"42.000",NA
"90","1:132459452|132485503","4.000",NA,NA
"91","1:133482709|133527860","13.000",NA,NA
"92","1:133524032|133548768","7.000",NA,"53.000"
"93","1:133547238|133548768",NA,"52.000",NA
"94","1:134918332|134934833","4.000",NA,NA
"95","1:135379757|135424004",NA,NA,"49.000"
"96","1:13588839|13592979","6.000",NA,NA
"97","1:13588839|13594434","4.000",NA,NA
"98","1:13592825|13594434","1.000",NA,NA
"99","1:13684255|13685821","3.000",NA,NA
"100","1:137770445|137779144",NA,NA,"5.000"
"101","1:13806548|13839721","1.000",NA,NA
"102","1:138092246|138106090","8.000",NA,NA
"103","1:139147777|139148066","1.000",NA,NA
"104","1:139899449|139899830","2.000",NA,NA
"105","1:140226683|140232637","5.000",NA,NA
"106","1:140476945|140518313",NA,NA,"12.000"
"107","1:146579479|146591450","11.000",NA,NA
"108","1:146657214|146665467","4.000",NA,NA
"109","1:146668504|146670060","5.000",NA,NA
"110","1:146668504|146682592","5.000",NA,NA
"111","1:146669978|146671522","5.000",NA,NA
"112","1:146744080|146753799","31.000",NA,NA
"113","1:146744080|146753814","2.000",NA,NA
"114","1:147221610|147236856","3.000",NA,NA
"115","1:148666733|148667830","9.000",NA,NA
"116","1:148680205|148687375","4.000",NA,NA
"117","1:154143029|154162421","4.000",NA,NA
"118","1:154143029|154178026",NA,NA,"15.000"
"119","1:154149691|154162421","3.000",NA,NA
"120","1:154263724|154270377","7.000",NA,NA
"121","1:154600706|154683822","1.000",NA,NA
"122","1:15643367|15643984","3.000",NA,NA
"123","1:15643367|15670901","9.000",NA,NA
