"gene_id","circ_id","gene_name"
"ENSMPIG00001000700244","scaffold0001:697840|704141","novel_gene_2246_627a1eab"
"ENSMPIG00001014100244","scaffold0001:42303657|42310430","novel_gene_2384_627a1eab"
"ENSMPIG00001014100244","scaffold0001:42303657|42328921","novel_gene_2384_627a1eab"
"ENSMPIG00001014100244","scaffold0001:42124302|42130785","novel_gene_2384_627a1eab"
"ENSMPIG00001014100244","scaffold0001:42296697|42328921","novel_gene_2384_627a1eab"
"ENSMPIG00001014100244","scaffold0001:42296697|42314870","novel_gene_2384_627a1eab"
"ENSMPIG00001014100244","scaffold0001:42203863|42219201","novel_gene_2384_627a1eab"
"ENSMPIG00001022900244","scaffold0001:55609859|55629274","novel_gene_2280_627a1eab"
"ENSMPIG00001022900244","scaffold0001:55809198|55812481","novel_gene_2280_627a1eab"
"ENSMPIG00001023600244","scaffold0001:56826478|56832903","evm.TU.scaffold0001.273"
"ENSMPIG00001025100244","scaffold0001:59465041|59469120","novel_gene_2283_627a1eab"
"ENSMPIG00001025100244","scaffold0001:59465041|59476372","novel_gene_2283_627a1eab"
"ENSMPIG00001025100244","scaffold0001:59708400|59732866","novel_gene_2283_627a1eab"
"ENSMPIG00001025100244","scaffold0001:59577124|59578052","novel_gene_2283_627a1eab"
"ENSMPIG00001025100244","scaffold0001:59708400|59716191","novel_gene_2283_627a1eab"
"ENSMPIG00001042100244","scaffold0001:79236537|79238450","novel_gene_499_62831269"
"ENSMPIG00001043000244","scaffold0001:80976640|80977465","novel_gene_2398_627a1eab"
"ENSMPIG00001043000244","scaffold0001:80749424|80771039","novel_gene_2398_627a1eab"
"ENSMPIG00001043000244","scaffold0001:80810238|80813725","novel_gene_2398_627a1eab"
"ENSMPIG00001048900234","scaffold0001:86890012|86895971","evm.TU.scaffold0001.553"
"ENSMPIG00001054300244","scaffold0001:100759284|100759686","novel_gene_2402_627a1eab"
"ENSMPIG00001088300244","scaffold0001:124169788|124180275","novel_gene_2420_627a1eab"
"ENSMPIG00001096400244","scaffold0001:127975613|127991019","novel_gene_530_62831269"
"ENSMPIG00001096400244","scaffold0001:127975613|127977748","novel_gene_530_62831269"
"ENSMPIG00001103002243","scaffold0001:139230664|139232049","novel_gene_2345_627a1eab"
"ENSMPIG00001103002243","scaffold0001:139016258|139026238","novel_gene_2345_627a1eab"
"ENSMPIG00001103002243","scaffold0001:138974187|138974965","novel_gene_2345_627a1eab"
"ENSMPIG00002008400244","scaffold0002:6041971|6049058","novel_gene_26_62831269"
"ENSMPIG00002008400244","scaffold0002:5786571|5800822","novel_gene_26_62831269"
"ENSMPIG00002024400244","scaffold0002:30272099|30272437","novel_gene_60_62831269"
"ENSMPIG00002061600244","scaffold0002:79648674|79652293","novel_gene_310_627a1eab"
"ENSMPIG00002068000244","scaffold0002:95976970|95981681","novel_gene_476_62831269"
"ENSMPIG00002068000244","scaffold0002:95736788|95737115","novel_gene_476_62831269"
"ENSMPIG00002069900244","scaffold0002:101743909|101762385","novel_gene_134_62831269"
"ENSMPIG00003020500244","scaffold0003:34918482|34944456","novel_gene_140_627a1eab"
"ENSMPIG00003032500234","scaffold0003:53153388|53155613","evm.TU.scaffold0003.416"
"ENSMPIG00003051600244","scaffold0003:80977768|80979618","evm.TU.scaffold0003.642"
"ENSMPIG00003057201243","scaffold0003:84836920|84837133","novel_gene_135_62831269"
"ENSMPIG00003062800244","scaffold0003:92537513|92555422","novel_gene_263_62831269"
"ENSMPIG00003062800244","scaffold0003:92333815|92376444","novel_gene_263_62831269"
"ENSMPIG00003062800244","scaffold0003:92549743|92555422","novel_gene_263_62831269"
"ENSMPIG00003062800244","scaffold0003:92495876|92498691","novel_gene_263_62831269"
"ENSMPIG00003062800244","scaffold0003:92537513|92544061","novel_gene_263_62831269"
"ENSMPIG00003097400244","scaffold0003:108782440|108812685","novel_gene_916_627a1eab"
"ENSMPIG00003097400244","scaffold0003:108684559|108697786","novel_gene_916_627a1eab"
"ENSMPIG00003097400244","scaffold0003:108684559|108692448","novel_gene_916_627a1eab"
"ENSMPIG00003097400244","scaffold0003:108730605|108743184","novel_gene_916_627a1eab"
"ENSMPIG00003097400244","scaffold0003:108736573|108743184","novel_gene_916_627a1eab"
"ENSMPIG00003097400244","scaffold0003:108782440|108783299","novel_gene_916_627a1eab"
"ENSMPIG00004001100244","scaffold0004:2950168|2975521","novel_gene_570_627a1eab"
"ENSMPIG00004001100244","scaffold0004:2117777|2139336","novel_gene_570_627a1eab"
"ENSMPIG00004001100244","scaffold0004:3087555|3087798","novel_gene_570_627a1eab"
"ENSMPIG00004012021233","scaffold0004:19987647|19988005","AKAP6"
"ENSMPIG00004051124241","scaffold0004:48853608|48853940","LYSMD2"
"ENSMPIG00004054900244","scaffold0004:53306607|53316386","novel_gene_708_627a1eab"
"ENSMPIG00004054900244","scaffold0004:53314319|53316386","novel_gene_708_627a1eab"
"ENSMPIG00004079500244","scaffold0004:78230475|78236500","novel_gene_268_62831269"
"ENSMPIG00004090201233","scaffold0004:88640375|88660723","evm.TU.scaffold0004.968"
"ENSMPIG00004090201233","scaffold0004:88529005|88538971","evm.TU.scaffold0004.968"
"ENSMPIG00005003000234","scaffold0005:1725841|1738186","novel_gene_23_627a1eab"
"ENSMPIG00005003000234","scaffold0005:1735731|1738186","novel_gene_23_627a1eab"
"ENSMPIG00005011000244","scaffold0005:7072539|7074576","novel_gene_645_627a1eab"
"ENSMPIG00005011000244","scaffold0005:7066327|7074576","novel_gene_645_627a1eab"
"ENSMPIG00005011000244","scaffold0005:7090648|7096356","novel_gene_645_627a1eab"
"ENSMPIG00005025400244","scaffold0005:26751813|26770370","novel_gene_234_62831269"
"ENSMPIG00005025400244","scaffold0005:26767145|26774020","novel_gene_234_62831269"
"ENSMPIG00005137500244","scaffold0005:99748511|99751242","novel_gene_1042_627a1eab"
"ENSMPIG00006023100244","scaffold0006:31805530|31805780","evm.TU.scaffold0006.272"
"ENSMPIG00006041201243","scaffold0006:56825500|56830353","evm.TU.scaffold0006.472"
"ENSMPIG00006050900244","scaffold0006:71520086|71534120","novel_gene_402_62831269"
"ENSMPIG00006050900244","scaffold0006:71520086|71538195","novel_gene_402_62831269"
"ENSMPIG00006055100244","scaffold0006:81083213|81090175","novel_gene_1658_627a1eab"
"ENSMPIG00006061609243","scaffold0006:91848853|91864176","ETL4"
"ENSMPIG00006061609243","scaffold0006:92149109|92149393","ETL4"
"ENSMPIG00007038500244","scaffold0007:23745748|23750095","evm.TU.scaffold0007.437"
"ENSMPIG00007062000244","scaffold0007:67160605|67172637","novel_gene_457_62831269"
"ENSMPIG00007062000244","scaffold0007:67085373|67094561","novel_gene_457_62831269"
"ENSMPIG00007062000244","scaffold0007:67077453|67094561","novel_gene_457_62831269"
"ENSMPIG00007062000244","scaffold0007:67469151|67474670","novel_gene_457_62831269"
"ENSMPIG00007062000244","scaffold0007:67368959|67370733","novel_gene_457_62831269"
"ENSMPIG00007080300234","scaffold0007:88817667|88819956","novel_gene_465_62831269"
"ENSMPIG00007080300234","scaffold0007:88846523|88847333","novel_gene_465_62831269"
"ENSMPIG00007082100244","scaffold0007:91656590|91656785","novel_gene_158_62831269"
"ENSMPIG00007082100244","scaffold0007:91888372|91902099","novel_gene_158_62831269"
"ENSMPIG00007082100244","scaffold0007:91865746|91888462","novel_gene_158_62831269"
"ENSMPIG00007082100244","scaffold0007:91726271|91742312","novel_gene_158_62831269"
"ENSMPIG00007082100244","scaffold0007:91865746|91902099","novel_gene_158_62831269"
"ENSMPIG00007082100244","scaffold0007:91656590|91726421","novel_gene_158_62831269"
"ENSMPIG00007082100244","scaffold0007:91656590|91742312","novel_gene_158_62831269"
