"gene_id","new_gene_name","identity","evalue","bitscore","ref_species","ref_gene_id","original_name"
"ENSMFUG00001015100174","UNKNOWN",66.667,9.32e-40,136,"mma","ENSMMUG00000062329.1","novel_gene_920_5d71f2e7"
"ENSMFUG00001018800174","UNKNOWN",64.646,3.45e-38,132,"mma","ENSMMUG00000062329.1","novel_gene_992_5d71f2e7"
"ENSMFUG00001027800244","ABTB3",92.105,4.48e-38,160,"mma","ENSMMUG00000015540.4","novel_gene_134_5d71f2e7"
"ENSMFUG00001027800244","ABTB3",92.105,4.48e-38,160,"mma","ENSMMUG00000015540.4","novel_gene_134_5d71f2e7"
"ENSMFUG00001027800244","ABTB3",92.105,4.48e-38,160,"mma","ENSMMUG00000015540.4","novel_gene_134_5d71f2e7"
"ENSMFUG00001027800244","ABTB3",92.105,4.48e-38,160,"mma","ENSMMUG00000015540.4","novel_gene_134_5d71f2e7"
"ENSMFUG00001027800244","ABTB3",92.105,5.04e-38,160,"hsa","ENSG00000151136.15","novel_gene_134_5d71f2e7"
"ENSMFUG00001027800244","ABTB3",92.105,5.04e-38,160,"hsa","ENSG00000151136.15","novel_gene_134_5d71f2e7"
"ENSMFUG00001027800244","ABTB3",92.105,5.04e-38,160,"hsa","ENSG00000151136.15","novel_gene_134_5d71f2e7"
"ENSMFUG00001027800244","ABTB3",92.105,5.04e-38,160,"hsa","ENSG00000151136.15","novel_gene_134_5d71f2e7"
"ENSMFUG00001027900244","ABTB3",92.105,4.48e-38,160,"mma","ENSMMUG00000015540.4","novel_gene_48_5d769ab4"
"ENSMFUG00001027900244","ABTB3",92.105,4.48e-38,160,"mma","ENSMMUG00000015540.4","novel_gene_48_5d769ab4"
"ENSMFUG00001027900244","ABTB3",92.105,4.48e-38,160,"mma","ENSMMUG00000015540.4","novel_gene_48_5d769ab4"
"ENSMFUG00001027900244","ABTB3",92.105,4.48e-38,160,"mma","ENSMMUG00000015540.4","novel_gene_48_5d769ab4"
"ENSMFUG00001027900244","ABTB3",92.105,5.04e-38,160,"hsa","ENSG00000151136.15","novel_gene_48_5d769ab4"
"ENSMFUG00001027900244","ABTB3",92.105,5.04e-38,160,"hsa","ENSG00000151136.15","novel_gene_48_5d769ab4"
"ENSMFUG00001027900244","ABTB3",92.105,5.04e-38,160,"hsa","ENSG00000151136.15","novel_gene_48_5d769ab4"
"ENSMFUG00001027900244","ABTB3",92.105,5.04e-38,160,"hsa","ENSG00000151136.15","novel_gene_48_5d769ab4"
"ENSMFUG00001033900244","ANKS1B",91.984,0,2352,"hsa","ENSG00000185046.21","novel_gene_408_5d846b90"
"ENSMFUG00001033900244","ANKS1B",91.984,0,2352,"hsa","ENSG00000185046.21","novel_gene_408_5d846b90"
"ENSMFUG00001034000244","ANKS1B",91.984,0,2352,"hsa","ENSG00000185046.21","novel_gene_433_5d769ab4"
"ENSMFUG00001034000244","ANKS1B",91.984,0,2352,"hsa","ENSG00000185046.21","novel_gene_433_5d769ab4"
"ENSMFUG00001036100244","Got2",75.294,4.77e-85,259,"mmu","ENSMUSG00000031672.9","novel_gene_1334_5d71f2e7"
"ENSMFUG00001037300244","Ano2",82.895,1.18e-30,136,"mmu","ENSMUSG00000038115.17","novel_gene_192_5d71f2e7"
"ENSMFUG00001037300244","Ano2",82.895,1.18e-30,136,"mmu","ENSMUSG00000038115.17","novel_gene_192_5d71f2e7"
"ENSMFUG00001037300244","Ano2",82.895,1.18e-30,136,"mmu","ENSMUSG00000038115.17","novel_gene_192_5d71f2e7"
